subqueryStockItemID;subqueryNewStockGroupName;StockItemName
1;"Novelty Items; Computing Novelties; USB Novelties";USB missile launcher (Green)
2;"USB Novelties; Computing Novelties; Novelty Items";USB rocket launcher (Gray)
3;"Novelty Items; Computing Novelties";Office cube periscope (Black)
4;"Computing Novelties; Novelty Items; USB Novelties";USB food flash drive - sushi roll
5;"USB Novelties; Novelty Items; Computing Novelties";USB food flash drive - hamburger
6;"Computing Novelties; Novelty Items; USB Novelties";USB food flash drive - hot dog
7;"USB Novelties; Novelty Items; Computing Novelties";USB food flash drive - pizza slice
8;"Computing Novelties; Novelty Items; USB Novelties";USB food flash drive - dim sum 10 drive variety pack
9;"USB Novelties; Novelty Items; Computing Novelties";USB food flash drive - banana
10;"Computing Novelties; Novelty Items; USB Novelties";USB food flash drive - chocolate bar
11;"USB Novelties; Novelty Items; Computing Novelties";USB food flash drive - cookie
12;"Computing Novelties; Novelty Items; USB Novelties";USB food flash drive - donut
13;"USB Novelties; Novelty Items; Computing Novelties";USB food flash drive - shrimp cocktail
14;"Computing Novelties; Novelty Items; USB Novelties";USB food flash drive - fortune cookie
15;"USB Novelties; Novelty Items; Computing Novelties";USB food flash drive - dessert 10 drive variety pack
16;"Computing Novelties; Mugs; Novelty Items";DBA joke mug - mind if I join you? (White)
17;"Novelty Items; Mugs; Computing Novelties";DBA joke mug - mind if I join you? (Black)
18;"Computing Novelties; Mugs; Novelty Items";DBA joke mug - daaaaaa-ta (White)
19;"Novelty Items; Mugs; Computing Novelties";DBA joke mug - daaaaaa-ta (Black)
20;"Computing Novelties; Mugs; Novelty Items";DBA joke mug - you might be a DBA if (White)
21;"Novelty Items; Mugs; Computing Novelties";DBA joke mug - you might be a DBA if (Black)
22;"Computing Novelties; Mugs; Novelty Items";DBA joke mug - it depends (White)
23;"Novelty Items; Mugs; Computing Novelties";DBA joke mug - it depends (Black)
24;"Computing Novelties; Mugs; Novelty Items";DBA joke mug - I will get you in order (White)
25;"Novelty Items; Mugs; Computing Novelties";DBA joke mug - I will get you in order (Black)
26;"Computing Novelties; Mugs; Novelty Items";DBA joke mug - SELECT caffeine FROM mug (White)
27;"Novelty Items; Mugs; Computing Novelties";DBA joke mug - SELECT caffeine FROM mug (Black)
28;"Computing Novelties; Mugs; Novelty Items";DBA joke mug - two types of DBAs (White)
29;"Novelty Items; Mugs; Computing Novelties";DBA joke mug - two types of DBAs (Black)
30;"Computing Novelties; Mugs; Novelty Items";Developer joke mug - Oct 31 = Dec 25 (White)
